PinCode,MccCode,Pincode_Mcccode,RegionName
521214,202,521214202,VIJAYAWADA
522329,202,522329202,VIJAYAWADA
533342,201,533342201,VIJAYAWADA
521214,201,521214201,VIJAYAWADA
507164,199,507164199,VIJAYAWADA
507164,198,507164198,VIJAYAWADA
533450,196,533450196,VIJAYAWADA
507164,195,507164195,VIJAYAWADA
533433,193,533433193,VIJAYAWADA
533433,192,533433192,VIJAYAWADA
507164,192,507164192,VIJAYAWADA
533450,191,533450191,VIJAYAWADA
533450,189,533450189,VIJAYAWADA
521214,189,521214189,VIJAYAWADA
521227,188,521227188,VIJAYAWADA
521214,186,521214186,VIJAYAWADA
521214,185,521214185,VIJAYAWADA
534134,183,534134183,VIJAYAWADA
533305,183,533305183,VIJAYAWADA
521213,183,521213183,VIJAYAWADA
533305,182,533305182,VIJAYAWADA
522256,182,522256182,VIJAYAWADA
521214,181,521214181,VIJAYAWADA
533437,180,533437180,VIJAYAWADA
533216,180,533216180,VIJAYAWADA
533343,180,533343180,VIJAYAWADA
533437,179,533437179,VIJAYAWADA
521214,179,521214179,VIJAYAWADA
507164,178,507164178,VIJAYAWADA
533435,177,533435177,VIJAYAWADA
521214,177,521214177,VIJAYAWADA
522268,175,522268175,VIJAYAWADA
533437,170,533437170,VIJAYAWADA
522268,169,522268169,VIJAYAWADA
521215,168,521215168,VIJAYAWADA
533437,166,533437166,VIJAYAWADA
521215,166,521215166,VIJAYAWADA
521213,165,521213165,VIJAYAWADA
533433,164,533433164,VIJAYAWADA
521215,164,521215164,VIJAYAWADA
522314,163,522314163,VIJAYAWADA
534134,162,534134162,VIJAYAWADA
522314,162,522314162,VIJAYAWADA
522601,161,522601161,VIJAYAWADA
523302,158,523302158,VIJAYAWADA
522262,158,522262158,VIJAYAWADA
533291,157,533291157,VIJAYAWADA
521229,156,521229156,VIJAYAWADA
522262,156,522262156,VIJAYAWADA
533437,155,533437155,VIJAYAWADA
522615,155,522615155,VIJAYAWADA
522262,155,522262155,VIJAYAWADA
522615,154,522615154,VIJAYAWADA
522262,154,522262154,VIJAYAWADA
522256,153,522256153,VIJAYAWADA
522615,153,522615153,VIJAYAWADA
521229,153,521229153,VIJAYAWADA
522262,153,522262153,VIJAYAWADA
522615,152,522615152,VIJAYAWADA
522647,151,522647151,VIJAYAWADA
533437,151,533437151,VIJAYAWADA
522615,151,522615151,VIJAYAWADA
522329,151,522329151,VIJAYAWADA
